scrape_date,scrape_timestamp,category,product_id,brand,price,mrp,availability,product_url,image_url,rating,discount,main_category,sub_category,capacity_litres,star_rating,model_name
2026-02-03,2026-02-03 12:16:03,refrigerator,240703,Electrolux,99990,152990,Available,https://www.vijaysales.com/p/240703/electrolux-564-litres-quad-door-frost-free-inverter-refrigerator-with-electronic-touch-controls-eventemp-function-bright-led-slow-melting-spherical-ice-eqe5600b-b-matte-black,https://vsprod.vijaysales.com/media/catalog/product/2/4/240703_1_.jpg,5,34.64,Large Appliances,Side By Side,564,2,"EQE5600B-B, Matte Black"
2026-02-03,2026-02-03 12:16:03,refrigerator,240118,Haier,146990,225000,Available,https://www.vijaysales.com/p/240118/haier-630-litres-convertible-4-door-side-by-side-wi-fi-refrigerator-colorful-digital-display-with-motion-sensor-magic-cooling-toughened-glass-black-glass,https://vsprod.vijaysales.com/media/catalog/product/2/4/240118_3__1.jpg,5,34.67,Large Appliances,Side By Side,630,2,Black Glass
2026-02-03,2026-02-03 12:16:03,refrigerator,238735,Haier,84990,137990,Available,https://www.vijaysales.com/p/238735/haier-520-litres-3-star-convertible-4-door-side-by-side-wi-fi-refrigerator-deo-fresh-technology-toughened-glass-shelves-smart-sense-ai-hrb-600kgu1-black-glass,https://vsprod.vijaysales.com/media/catalog/product/h/r/hrb-600kgu1-01.jpg,4,38.41,Large Appliances,Side By Side,520,3,"HRB-600KGU1, Black Glass"
2026-02-03,2026-02-03 12:16:03,refrigerator,237492,Haier,84990,141990,Available,https://www.vijaysales.com/p/237492/haier-598-litres-3-star-convertible-side-by-side-refrigerator-with-wi-fi-digital-control-panel-jumbo-ice-maker-deo-fresh-technology-inverter-technology-hrt-683gku1-graphite-black,https://vsprod.vijaysales.com/media/catalog/product/2/3/237492_1_.jpeg,5,40.14,Large Appliances,Side By Side,598,3,"HRT-683GKU1, Graphite Black"
2026-02-03,2026-02-03 12:16:03,refrigerator,236075,Godrej,49990,74990,Available,https://www.vijaysales.com/p/236075/godrej-eon-regalis-472-litres-2-star-double-door-frost-free-inverter-refrigerator-powered-by-ai-tech-advanced-control-panel-easy-slide-shelf-separate-fruit-crisper-champagne-gold,https://vsprod.vijaysales.com/media/catalog/product/2/3/236075_1_.jpg,5,33.34,Large Appliances,Double Door,472,2,Champagne Gold
2026-02-03,2026-02-03 12:16:03,refrigerator,235925,Liebherr,29790,43880,Available,https://www.vijaysales.com/p/235925/liebherr-269-litres-2-star-double-door-frost-free-inverter-refrigerator-central-power-cooling-adjustable-shelves-spice-boxes-pocket-handle-tcpbsb-2721-black-steel,https://vsprod.vijaysales.com/media/catalog/product/2/3/235925_1_.jpg,4,32.11,Large Appliances,Double Door,269,2,"TCPbsB 2721, Black Steel"
2026-02-03,2026-02-03 12:16:03,refrigerator,235916,IFB,26690,40750,Available,https://www.vijaysales.com/p/235916/ifb-265-litres-2-star-frost-free-double-door-tru-convertible-refrigerator-with-surround-cooling-ice-twister-deodorizer-lock-key-toughened-glass-shelves-ifbff-3152fbst-brush-steel,https://vsprod.vijaysales.com/media/catalog/product/2/3/235916_1_.jpg,4,34.5,Large Appliances,Double Door,265,2,"IFBFF-3152FBST, Brush Steel"
2026-02-03,2026-02-03 12:16:03,refrigerator,235770,Haier,89990,151990,Available,https://www.vijaysales.com/p/235770/haier-598-litres-3-star-triple-door-convertible-side-by-side-refrigerator-with-digital-control-panel-wifi-enabled-hrt-683kgu1-black-glass,https://vsprod.vijaysales.com/media/catalog/product/2/3/235770_1_.jpg,5,40.79,Large Appliances,Side By Side,598,3,"HRT-683KGU1, Black Glass"
2026-02-03,2026-02-03 12:16:03,refrigerator,235769,LG,9900,11999,Unavailable,https://www.vijaysales.com/p/235769/lg-43-litres-1-star-single-door-mini-refrigerator-with-anti-bacterial-gasket-door-basket-polypropylene-shelf-pocket-handle-super-white,https://vsprod.vijaysales.com/media/catalog/product/2/3/235769_1_.jpg,4,17.49,Large Appliances,Single Door,43,1,Super White
2026-02-03,2026-02-03 12:16:03,refrigerator,235116,Godrej,40490,68490,Available,https://www.vijaysales.com/p/235116/godrej-436-litres-2-star-double-door-inverter-frost-free-refrigerator-with-advanced-control-panel-led-rt-eonregalis-477b-rci-mt-bk-matte-black,https://vsprod.vijaysales.com/media/catalog/product/2/3/235116_1_.jpg,5,40.88,Large Appliances,Double Door,436,2,"RT Eon Regalis 477B RCI MT BK, Matte Black"
2026-02-03,2026-02-03 12:16:03,refrigerator,235068,LG,102990,129899,Available,https://www.vijaysales.com/p/235068/lg-650-litres-3-star-side-by-side-inverter-refrigerator-wi-fi-convertible-doorcooling-multi-air-flow-hygiene-fresh-full-wine-rack-easy-ice-maker-gl-b257eus3-urban-steel,https://vsprod.vijaysales.com/media/catalog/product/2/3/235068_1__1.jpg,4,20.72,Large Appliances,Side By Side,650,3,"GL-B257EUS3, Urban Steel"
2026-02-03,2026-02-03 12:16:03,refrigerator,234330,Electrolux,179990,316990,Available,https://www.vijaysales.com/p/234330/electrolux-680-litres-frost-free-inverter-french-door-refrigerator-with-twintech-cooling-system-door-alarm-eqe6879a-b-glossy-dark-grey,https://vsprod.vijaysales.com/media/catalog/product/2/3/234330_1_.jpg,4,43.22,Large Appliances,Side By Side,609,2,"EQE6879A-B, Glossy Dark Grey"
2026-02-03,2026-02-03 12:16:03,refrigerator,234329,Electrolux,102990,181990,Unavailable,https://www.vijaysales.com/p/234329/electrolux-600-litres-frost-free-inverter-french-door-refrigerator-with-tastelockplus-technology-360-cooling-system-eqe6000a-b-matte-dark-grey,https://vsprod.vijaysales.com/media/catalog/product/2/3/234329_1__1_.jpg,5,43.41,Large Appliances,Side By Side,541,3,"EQE6000A-BNIN, Matte Dark Grey"
