scrape_date,scrape_timestamp,category,product_id,brand,price,mrp,availability,product_url,image_url,rating,discount,main_category,sub_category,screen_size,resolution
2026-02-02,2026-02-02 10:51:36,television,235890,LLOYD,264990,829500,Available,https://www.vijaysales.com/p/235890/llyod-254cm-100-inch-4k-ultra-hd-qled-smart-webos-tv-4k-upscaling-hdr-10-dolby-atmos-multi-voice-assistant-screen-sharing-gl100u4s2tg,https://vsprod.vijaysales.com/media/catalog/product/2/3/235890_1_.jpg,5,68.05,Television and Entertainment,4K Ultra HD,0,4K UHD
2026-02-02,2026-02-02 10:51:36,television,231652,LLOYD,35990,61500,Unavailable,https://www.vijaysales.com/p/231652/llyod-139cm-55-inch-4k-ultra-hd-led-smart-webos-tv-4k-upscaling-hdr-immersive-sound-screen-sharing-gl55u4p2sf,https://vsprod.vijaysales.com/media/catalog/product/2/3/239861_1.jpg,4,41.48,Television and Entertainment,4K Ultra HD,55,4K UHD
2026-02-02,2026-02-02 10:51:36,television,231651,LLOYD,19990,45900,Unavailable,https://www.vijaysales.com/p/231651/lloyd-109cm-43-inches-smart-webos-led-tv-43us850f,https://vsprod.vijaysales.com/media/catalog/product/2/3/231651-image_1.jpg,5,56.45,Television and Entertainment,Ultra HD,43,4K UHD
2026-02-02,2026-02-02 10:51:36,television,231445,LLOYD,38490,61500,Unavailable,https://www.vijaysales.com/p/231445/lloyd-140cm-55-inches-qled-smart-webos-led-tv-55ps851f,https://vsprod.vijaysales.com/media/catalog/product/2/3/231445-image.jpg,4,37.41,Television and Entertainment,Ultra HD,55,QLED
2026-02-02,2026-02-02 10:51:36,television,230546,Samsung,499990,749900,Unavailable,https://www.vijaysales.com/p/230546/samsung-216-cm-85-inches-neo-4k-qled-smart-tv-with-nq4-ai-gen2-processor-motion-xcelerator-qa85qn90d,https://vsprod.vijaysales.com/media/catalog/product/2/3/230546-image1.jpg,4,33.33,Television and Entertainment,4K Ultra HD,85,4K UHD
2026-02-02,2026-02-02 10:51:36,television,230126,LG,44200,82890,Unavailable,https://www.vijaysales.com/p/230126/lg-ut80-series-139-cm-55-inches-4k-ultra-hd-smart-tv-with-webos-24-hdr10-pro-alpha-5-ai-processor-4k-gen7-magic-remote-55ut80506la,https://vsprod.vijaysales.com/media/catalog/product/2/3/230126-image1.jpg,4,46.68,Television and Entertainment,4K Ultra HD,55,4K UHD
2026-02-02,2026-02-02 10:51:36,television,228743,LG,32990,49990,Unavailable,https://www.vijaysales.com/p/228743/lg-108-cm-43-inches-4k-ultra-hd-led-smart-tv-with-webos-ai-thinq-ai-sound-and-hgig-mode-43uq7500psf-ceramic-black,https://vsprod.vijaysales.com/media/catalog/product/2/2/228743n_1_.jpg,5,34.01,Television and Entertainment,4K Ultra HD,43,4K UHD
2026-02-02,2026-02-02 10:51:36,television,218394,Samsung,449990,519900,Unavailable,https://www.vijaysales.com/p/218394/samsung-195-cm-77-inches-s90c-4k-oled-smart-tv-with-neural-quantum-processor-4k-dolby-atmos-qa77s90c-2023-model-edition,https://vsprod.vijaysales.com/media/catalog/product/2/1/218394-image1_1.jpg,5,13.45,Television and Entertainment,4K Ultra HD,77,4K UHD
2026-02-02,2026-02-02 10:51:36,television,217468,Samsung,96990,127900,Unavailable,https://www.vijaysales.com/p/217468/samsung-178-cm-70-inches-cu7700-crystal-4k-ultra-hd-smart-led-tv-with-crystal-processor-4k-3d-surround-sound-ua70cu7700-2023-model-edition,https://vsprod.vijaysales.com/media/catalog/product/2/1/217468-image1_2.jpg,4,24.17,Television and Entertainment,4K Ultra HD,70,4K UHD
2026-02-02,2026-02-02 10:51:36,television,217462,Samsung,72990,85900,Unavailable,https://www.vijaysales.com/p/217462/samsung-138-cm-55-inches-cu8570-crystal-4k-ultra-hd-smart-led-tv-with-dynamic-crystal-colour-built-in-alexa-ua55cu8570-2023-model-edition,https://vsprod.vijaysales.com/media/catalog/product/2/1/217462-image1_2.jpg,4,15.03,Television and Entertainment,4K Ultra HD,55,4K UHD
